"","t","SC","WRSAB","WRSM","MWAB","MWM","VWAB","VWM","PvalMW","PvalVW","PvalAB","PvalM","PvalMN"
"1",1,1.16067484575599,1.74223285045108,2.34553289761884,1.74197636190146,2.32109320296235,1.74181844624556,2.32093528730646,0.985511513816623,0.98954138422247,0.186927919830939,0.127672342322235,0.271867983667047
"2",2,0.433595370927856,0.462301630329551,1.17777897714983,0.463201630329551,0.868090741855712,0.465642855136346,0.870531966662507,0.919693120619913,0.904581162308526,0.501729330502331,0.354837946545881,0.386066685942858
"3",3,0.164720358216279,0.321080432172869,0.970028951726676,0.321080432172869,0.329440716432559,0.282584400512401,0.29094468477209,0.647030331073386,0.675676684263852,0.742949677781258,0.733512028360579,0.820299988255475
"4",4,0.056106297517086,0.38171874685358,0.030683183269466,0.38171874685358,0.112212595034172,0.63319904397429,0.363692892154882,0.752713806263052,0.552189293949727,0.596839327202318,0.919228148537343,0.903744962526557
"5",5,1.33209880777513,4.5519513302095,2.35749173319731,4.5519513302095,2.66419761555025,4.89119710405135,3.00344338939211,0.576358456555414,0.41793437092405,0.0395967401421032,0.125498032140061,0.130265655132936
"6",6,1.1967686593039,3.22635947798474,2.45953731860781,3.22635947798474,2.39353731860781,3.2800265506552,2.44720439127827,0.876481476247707,0.778453408660587,0.0735987880031705,0.123841265740319,0.118347056843858
"7",7,1.00987050623553,2.27057441815436,2.32644689482401,2.27057441815436,2.01974101247107,2.26698140878395,2.01614800310066,0.923028708532156,0.935389463969861,0.132718943973829,0.156308966318945,0.135614241870533
"8",8,0.762313237796078,1.59243747047206,2.50686176970981,1.59243747047206,1.52462647559216,1.27959077544409,1.21177978056419,0.407916596501915,0.538145018587061,0.342620296854088,0.361466669568322,0.186846425233138
"9",9,0.966721798054604,2.00708670565,3.31167889022686,2.00708670565,1.93344359610921,1.82870028726922,1.75505717772843,0.209097394675559,0.235081482342765,0.517510724643866,0.55683820862584,0.97256514562124
"10",10,0.0300489919517558,0.0796725709638693,0.0484509250799821,0.0796725709638693,0.0600979839035115,0.0225427016071409,0.00296811454678305,0.810758295572686,0.962294803964617,0.886680603563561,0.978396639065692,0.838842300081759
"11",11,0.826241222635808,1.69637978546257,0.678011857036322,1.69637978546257,1.65248244527162,1.46578122987224,1.42188388968129,0.200103664946273,0.23310712163295,0.833891226235801,0.99275535731307,0.54823912340824
"12",12,0.731624087268406,2.11886826472524,1.26524817453681,2.11886826472524,1.46324817453681,2.09310005872112,1.43747996853269,0.659149126613457,0.677887003717227,0.165792084179167,0.260713217137576,0.213842924082529
"13",13,1.81414358481003,4.96883364442551,4.82793422844359,4.96883364442551,3.62828716962006,4.97677276196223,3.63622628715678,0.287866951713992,0.284292103051368,0.0503334425253935,0.114588504007652,0.110170727975151
"14",14,3.75680056818732,7.22265224025094,10.1652481951982,7.22265224025094,7.51360113637464,7.83645617014535,8.12740506626905,0.00844036727620518,0.00592319432892305,0.608111180281338,0.45673522983828,0.938768425471592
"15",15,4.28542940433953,7.94251868489331,11.3079176322085,7.94251868489331,8.57085880867906,9.64575452570231,10.2740946494881,0.00640399598516765,0.00247481796140351,0.485431608817515,0.291002730149572,0.467005898303085
"16",16,6.08531028645035,11.0751630407002,15.0785029258419,11.0751630407002,12.1706205729007,13.1776906139154,14.2731481461159,0.00360063876777497,0.00112966229945144,0.108515799358084,0.0553615831759834,0.635152652967129
"17",17,5.5789584403258,10.098214800759,13.9415639394751,10.098214800759,11.1579168806516,11.7818893665721,12.8415914464647,0.00549044791196212,0.00214936973257258,0.124123903492859,0.0642473939895491,0.707533909071524
"18",18,6.8158514061022,12.8895318127251,16.9122910474985,12.8895318127251,13.6317028122044,13.5269793093113,14.2691503087906,0.000918193442744493,0.000641688279591083,0.170789197400219,0.105645989702482,0.534354171557816
"19",19,7.49543001255823,15.0055048290284,18.1006247309988,15.0055048290284,14.9908600251165,16.8798198546752,16.8651750507633,0.00175028998011442,0.000626620187293318,0.0227874682191567,0.022980355653784,0.933272474611697
"20",20,9.4502009937225,17.9458785656198,22.1771078697979,17.9737432715022,18.9282666933273,21.5442799245784,22.4988033464036,0.000932072971245286,0.000134038947540751,0.00833389083726077,0.00490168936486774,0.275963498312726
